Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,21,70,159.000000,1,1,1,23.887,79.623,0.000
1,1,7,115,161.000000,1,1,1,7.962,130.810,0.000
1,1,44,106,100.000000,1,1,1,50.049,120.573,0.000
1,1,78,261,75.000000,1,1,1,88.723,296.881,0.000
1,1,31,479,63.000000,1,1,1,35.262,544.851,0.000
1,1,14,661,87.000000,1,1,1,15.925,751.872,0.000
1,1,53,735,203.000000,1,1,1,60.286,836.045,0.000
1,1,52,616,61.000000,1,1,1,59.149,700.686,0.000
1,1,180,681,140.000000,1,1,1,204.746,774.622,0.000
1,1,198,514,78.000000,1,1,1,225.220,584.663,0.000
1,1,106,420,32.000000,1,1,1,120.573,477.740,0.000
1,1,132,31,24.000000,1,1,1,150.147,35.262,0.000
1,1,108,69,23.000000,1,1,1,122.847,78.486,0.000
2,1,54,736,89.000000,1,1,1,61.424,837.183,0.000
2,1,180,680,114.000000,1,1,1,204.746,773.484,0.000
2,1,17,662,83.000000,1,1,1,19.337,753.009,0.000
2,1,196,513,65.000000,1,1,1,222.945,583.525,0.000
