Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,53,74,139.000000,1,1,1,60.286,84.173,0.000
1,1,34,158,49.000000,1,1,1,38.674,179.721,0.000
1,1,42,223,58.000000,1,1,1,47.774,253.657,0.000
1,1,128,224,34.000000,1,1,1,145.597,254.795,0.000
1,1,124,261,4.000000,1,1,1,141.047,296.881,0.000
1,1,27,369,41.000000,1,1,1,30.712,419.729,0.000
1,1,139,473,100.000000,1,1,1,158.109,538.026,0.000
1,1,92,592,30.000000,1,1,1,104.648,673.386,0.000
1,1,143,664,99.000000,1,1,1,162.659,755.284,0.000
1,1,190,406,50.000000,1,1,1,216.121,461.815,0.000
1,1,76,482,59.000000,1,1,1,86.448,548.264,0.000
1,1,41,620,125.000000,1,1,1,46.637,705.235,0.000
1,1,51,562,56.000000,1,1,1,58.011,639.262,0.000
2,1,139,472,89.000000,1,1,1,158.109,536.889,0.000
2,1,192,406,11.000000,1,1,1,218.395,461.815,0.000
2,1,26,369,43.000000,1,1,1,29.574,419.729,0.000
2,1,143,665,119.000000,1,1,1,162.659,756.422,0.000
2,1,91,590,60.000000,1,1,1,103.510,671.111,0.000
2,1,40,620,165.000000,1,1,1,45.499,705.235,0.000
2,1,72,479,47.000000,1,1,1,81.898,544.851,0.000
