Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,48,28,51.000000,1,1,1,54.599,31.849,0.000
1,1,48,82,87.000000,1,1,1,54.599,93.273,0.000
1,1,68,178,88.000000,1,1,1,77.348,202.471,0.000
1,1,97,241,114.000000,1,1,1,110.335,274.132,0.000
1,1,144,263,50.000000,1,1,1,163.797,299.156,0.000
1,1,83,333,35.000000,1,1,1,94.411,378.780,0.000
1,1,102,381,77.000000,1,1,1,116.023,433.379,0.000
1,1,127,514,78.000000,1,1,1,144.460,584.663,0.000
1,1,183,335,44.000000,1,1,1,208.158,381.055,0.000
1,1,21,582,82.000000,1,1,1,23.887,662.011,0.000
1,1,47,641,88.000000,1,1,1,53.461,729.122,0.000
1,1,103,639,7.000000,1,1,1,117.160,726.848,0.000
1,1,32,500,15.000000,1,1,1,36.399,568.738,0.000
1,1,43,150,71.000000,1,1,1,48.911,170.621,0.000
1,1,158,96,108.000000,1,1,1,179.721,109.198,0.000
2,1,47,81,148.000000,1,1,1,53.461,92.136,0.000
2,1,144,263,50.000000,1,1,1,163.797,299.156,0.000
2,1,184,334,36.000000,1,1,1,209.296,379.917,0.000
2,1,127,511,9.000000,1,1,1,144.460,581.251,0.000
2,1,31,500,11.000000,1,1,1,35.262,568.738,0.000
2,1,17,581,8.000000,1,1,1,19.337,660.874,0.000
2,1,47,641,88.000000,1,1,1,53.461,729.122,0.000
2,1,104,638,10.000000,1,1,1,118.298,725.710,0.000
2,1,105,380,30.000000,1,1,1,119.435,432.241,0.000
