Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,126,82,42.000000,1,1,1,143.322,93.273,0.000
1,1,88,51,129.000000,1,1,1,100.098,58.011,0.000
1,1,90,104,114.000000,1,1,1,102.373,118.298,0.000
1,1,46,112,134.000000,1,1,1,52.324,127.397,0.000
1,1,94,191,84.000000,1,1,1,106.923,217.258,0.000
1,1,89,624,34.000000,1,1,1,101.235,709.785,0.000
1,1,40,555,122.000000,1,1,1,45.499,631.299,0.000
1,1,50,408,67.000000,1,1,1,56.874,464.090,0.000
1,1,163,302,55.000000,1,1,1,185.409,343.518,0.000
1,1,131,229,176.000000,1,1,1,149.009,260.482,0.000
1,1,160,64,49.000000,1,1,1,181.996,72.798,0.000
1,1,168,61,100.000000,1,1,1,191.096,69.386,0.000
1,1,181,88,8.000000,1,1,1,205.883,100.098,0.000
1,1,41,228,30.000000,1,1,1,46.637,259.345,0.000
1,1,91,310,138.000000,1,1,1,103.510,352.618,0.000
1,1,147,250,83.000000,1,1,1,167.209,284.369,0.000
2,1,90,626,74.000000,1,1,1,102.373,712.060,0.000
2,1,148,253,124.000000,1,1,1,168.347,287.782,0.000
2,1,91,105,124.000000,1,1,1,103.510,119.435,0.000
2,1,90,50,19.000000,1,1,1,102.373,56.874,0.000
2,1,41,556,130.000000,1,1,1,46.637,632.437,0.000
