Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,22,219,147.000000,1,1,1,25.150,250.358,0.000
1,1,22,291,142.000000,1,1,1,25.150,332.667,0.000
1,1,76,331,106.000000,1,1,1,86.882,378.394,0.000
1,1,130,259,69.000000,1,1,1,148.614,296.085,0.000
1,1,110,268,80.000000,1,1,1,125.750,306.374,0.000
1,1,137,315,31.000000,1,1,1,156.616,360.103,0.000
1,1,134,193,119.000000,1,1,1,153.187,220.635,0.000
1,1,82,533,96.000000,1,1,1,93.741,609.318,0.000
1,1,53,506,65.000000,1,1,1,60.589,578.452,0.000
1,1,31,544,77.000000,1,1,1,35.439,621.893,0.000
1,1,63,604,90.000000,1,1,1,72.021,690.484,0.000
1,1,34,717,57.000000,1,1,1,38.868,819.664,0.000
1,1,147,373,112.000000,1,1,1,168.048,426.408,0.000
1,1,169,415,147.000000,1,1,1,193.198,474.422,0.000
1,1,53,374,114.000000,1,1,1,60.589,427.551,0.000
1,1,96,487,100.000000,1,1,1,109.746,556.731,0.000
1,1,64,428,85.000000,1,1,1,73.164,489.283,0.000
1,1,181,223,37.000000,1,1,1,206.916,254.930,0.000
1,1,170,561,64.000000,1,1,1,194.341,641.327,0.000
2,1,82,534,87.000000,1,1,1,93.741,610.461,0.000
2,1,31,545,77.000000,1,1,1,35.439,623.036,0.000
2,1,169,561,132.000000,1,1,1,193.198,641.327,0.000
2,1,148,373,135.000000,1,1,1,169.191,426.408,0.000
2,1,169,415,147.000000,1,1,1,193.198,474.422,0.000
2,1,136,314,110.000000,1,1,1,155.473,358.960,0.000
2,1,95,486,59.000000,1,1,1,108.603,555.588,0.000
2,1,65,428,75.000000,1,1,1,74.307,489.283,0.000
2,1,22,292,123.000000,1,1,1,25.150,333.810,0.000
2,1,64,604,112.000000,1,1,1,73.164,690.484,0.000
