Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,22,285,110.000000,1,1,1,25.024,324.180,0.000
1,1,104,374,41.000000,1,1,1,118.298,425.416,0.000
1,1,184,103,18.000000,1,1,1,209.296,117.160,0.000
1,1,142,256,78.000000,1,1,1,161.522,291.194,0.000
1,1,77,714,72.000000,1,1,1,87.586,812.157,0.000
1,1,103,557,110.000000,1,1,1,117.160,633.574,0.000
1,1,115,176,70.000000,1,1,1,130.810,200.196,0.000
1,1,177,201,41.000000,1,1,1,201.333,228.633,0.000
1,1,190,732,150.000000,1,1,1,216.121,832.632,0.000
1,1,21,426,30.000000,1,1,1,23.887,484.564,0.000
1,1,15,53,70.000000,1,1,1,17.062,60.286,0.000
1,1,65,783,5.000000,1,1,1,73.936,890.643,0.000
1,1,7,724,43.000000,1,1,1,7.962,823.532,0.000
1,1,4,394,103.000000,1,1,1,4.550,448.165,0.000
2,1,75,711,23.000000,1,1,1,85.311,808.745,0.000
2,1,189,736,140.000000,1,1,1,214.983,837.182,0.000
2,1,64,781,40.000000,1,1,1,72.798,888.368,0.000
2,1,8,725,87.000000,1,1,1,9.100,824.670,0.000
2,1,103,374,77.000000,1,1,1,117.160,425.416,0.000
2,1,19,426,15.000000,1,1,1,21.612,484.564,0.000
2,1,3,396,55.000000,1,1,1,3.412,450.440,0.000
2,1,21,285,89.000000,1,1,1,23.887,324.180,0.000
2,1,141,255,80.000000,1,1,1,160.384,290.056,0.000
2,1,103,558,117.000000,1,1,1,117.160,634.711,0.000
