"Animal","Genotype","n_images","total_Olig2","total_ASPA","total_Pdgfra","total_Pdgfra_pos_ASPA_pos","total_Pdgfra_pos_ASPA_neg","total_Pdgfra_neg_ASPA_pos","total_Pdgfra_neg_ASPA_neg","prop_Pdgfra","prop_ASPA","mean_olig2","mean_olig2_per_area","mean_ASPA","mean_ASPA_per_area","mean_Pdgfra","mean_Pdgfra_per_area","mean_Pdgfra_pos_ASPA_pos","mean_Pdgfra_pos_ASPA_neg","mean_Pdgfra_neg_ASPA_pos","mean_Pdgfra_neg_ASPA_neg","mean_Pdgfra_pos_ASPA_pos_per_area","mean_Pdgfra_pos_ASPA_neg_per_area","mean_Pdgfra_neg_ASPA_pos_per_area","mean_Pdgfra_neg_ASPA_neg_per_area","total_area","olig2_per_area","aspa_per_area","pdgfra_per_area","pdgfra_pos_aspa_pos_per_area","pdgfra_pos_aspa_neg_per_area","pdgfra_neg_aspa_pos_per_area","pdgfra_neg_aspa_neg_per_area"
"529551","WT",3,651,154,227,4,223,150,274,0.348694316436252,0.236559139784946,217,454.446006783195,154,107.535472892237,227,158.235943185755,1.33333333333333,74.3333333333333,50,91.3333333333333,2.82837880683711,155.407564378918,104.7070940854,191.50296951204,1.42183760210909,457.85819634699,108.310541071331,159.652550799949,2.81326080704756,156.839289992902,105.497280264284,192.708365282758
"529552","KO",2,406,65,222,6,216,59,125,0.54679802955665,0.160098522167488,203,438.874950804782,65,70.2519562398438,222,239.967296262282,3,108,29.5,62.5,6.4765626585192,233.490733603763,63.7753935813246,135.132260961175,0.925070457512434,438.885488886713,70.2649181715181,239.981720524262,6.48599244660167,233.49572807766,63.7789257249164,135.124842637535
"551943","WT",2,455,125,125,7,118,118,212,0.274725274725275,0.274725274725275,227.5,450.579711925329,125,123.788120260218,125,123.722161142454,3.5,59,59,106,6.92757413271538,116.794587009739,116.860546127503,209.997004655372,1.00943068254429,450.749128066094,123.832178040136,123.832178040136,6.9346019702476,116.897576069888,116.897576069888,210.01937395607
"551944","KO",2,495,106,168,10,158,96,231,0.339393939393939,0.214141414141414,247.5,479.02112182487,106,102.582784275521,168,162.575017763025,5,79,48,115.5,9.67732963783577,152.897688125189,92.9054546376854,223.540649424159,1.03334320587566,479.027681398975,102.579665107659,162.579091868743,9.67732689694898,152.901764971794,92.9023382107102,223.546251319521
"551948","WT",2,534,164,138,5,133,159,237,0.258426966292135,0.307116104868914,267,536.302491487627,164,164.651266041169,138,138.507132199474,2.5,66.5,79.5,118.5,5.03052115390785,133.476611045566,159.620744887261,238.174614400892,0.99648453557836,535.88388071679,164.578570107778,138.486845578496,5.01763933255421,133.469206245942,159.560930775224,237.83610436307
