Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,36,48,38.000000,1,1,1,40.949,54.599,0.000
1,1,45,50,91.000000,1,1,1,51.186,56.874,0.000
1,1,75,144,25.000000,1,1,1,85.311,163.797,0.000
1,1,72,228,198.000000,1,1,1,81.898,259.345,0.000
1,1,32,274,60.000000,1,1,1,36.399,311.669,0.000
1,1,124,206,16.000000,1,1,1,141.047,234.320,0.000
1,1,31,503,31.000000,1,1,1,35.262,572.151,0.000
1,1,84,504,122.000000,1,1,1,95.548,573.288,0.000
1,1,63,382,132.000000,1,1,1,71.661,434.516,0.000
1,1,145,546,13.000000,1,1,1,164.934,621.062,0.000
1,1,199,448,74.000000,1,1,1,226.358,509.589,0.000
1,1,4,406,19.000000,1,1,1,4.550,461.815,0.000
1,1,36,204,22.000000,1,1,1,40.949,232.045,0.000
1,1,174,175,157.000000,1,1,1,197.921,199.058,0.000
1,1,171,54,6.000000,1,1,1,194.508,61.424,0.000
1,1,58,631,18.000000,1,1,1,65.974,717.748,0.000
1,1,70,657,102.000000,1,1,1,79.623,747.322,0.000
2,1,56,631,36.000000,1,1,1,63.699,717.748,0.000
2,1,74,657,13.000000,1,1,1,84.173,747.322,0.000
2,1,147,545,54.000000,1,1,1,167.209,619.925,0.000
2,1,32,273,44.000000,1,1,1,36.399,310.531,0.000
2,1,9,404,12.000000,1,1,1,10.237,459.541,0.000
2,1,64,379,90.000000,1,1,1,72.798,431.104,0.000
