Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,102,39,32.000000,1,1,1,116.023,44.362,0.000
1,1,124,127,68.000000,1,1,1,141.047,144.460,0.000
1,1,88,125,60.000000,1,1,1,100.098,142.185,0.000
1,1,180,81,69.000000,1,1,1,204.746,92.136,0.000
1,1,95,332,119.000000,1,1,1,108.060,377.642,0.000
1,1,100,415,106.000000,1,1,1,113.748,472.053,0.000
1,1,153,548,89.000000,1,1,1,174.034,623.337,0.000
1,1,170,629,16.000000,1,1,1,193.371,715.473,0.000
1,1,37,665,67.000000,1,1,1,42.087,756.422,0.000
1,1,18,526,52.000000,1,1,1,20.475,598.313,0.000
1,1,137,502,88.000000,1,1,1,155.834,571.013,0.000
1,1,96,679,53.000000,1,1,1,109.198,772.347,0.000
1,1,88,200,102.000000,1,1,1,100.098,227.495,0.000
1,1,25,321,112.000000,1,1,1,28.437,365.130,0.000
1,1,124,455,56.000000,1,1,1,141.047,517.552,0.000
1,1,184,249,65.000000,1,1,1,209.296,283.232,0.000
2,1,155,547,17.000000,1,1,1,176.309,622.200,0.000
2,1,168,628,59.000000,1,1,1,191.096,714.335,0.000
2,1,96,680,18.000000,1,1,1,109.198,773.484,0.000
2,1,38,663,76.000000,1,1,1,43.224,754.147,0.000
2,1,20,525,26.000000,1,1,1,22.750,597.175,0.000
2,1,100,414,119.000000,1,1,1,113.748,470.915,0.000
2,1,94,332,75.000000,1,1,1,106.923,377.642,0.000
