Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,15,26,129.000000,1,1,1,17.062,29.574,0.000
1,1,137,49,100.000000,1,1,1,155.834,55.736,0.000
1,1,78,42,35.000000,1,1,1,88.723,47.774,0.000
1,1,30,90,224.000000,1,1,1,34.124,102.373,0.000
1,1,24,137,90.000000,1,1,1,27.299,155.834,0.000
1,1,153,168,70.000000,1,1,1,174.034,191.096,0.000
1,1,101,283,58.000000,1,1,1,114.885,321.906,0.000
1,1,17,402,55.000000,1,1,1,19.337,457.266,0.000
1,1,153,602,86.000000,1,1,1,174.034,684.761,0.000
1,1,56,781,27.000000,1,1,1,63.699,888.369,0.000
1,1,69,814,39.000000,1,1,1,78.486,925.906,0.000
1,1,150,772,63.000000,1,1,1,170.621,878.132,0.000
1,1,57,613,36.000000,1,1,1,64.836,697.273,0.000
1,1,105,190,14.000000,1,1,1,119.435,216.121,0.000
1,1,188,539,117.000000,1,1,1,213.846,613.100,0.000
1,1,93,727,39.000000,1,1,1,105.785,826.945,0.000
2,1,101,282,57.000000,1,1,1,114.885,320.768,0.000
2,1,17,401,44.000000,1,1,1,19.337,456.128,0.000
2,1,58,614,11.000000,1,1,1,65.974,698.411,0.000
2,1,94,727,38.000000,1,1,1,106.923,826.945,0.000
2,1,152,771,74.000000,1,1,1,172.896,876.994,0.000
2,1,57,780,21.000000,1,1,1,64.836,887.232,0.000
2,1,188,538,90.000000,1,1,1,213.846,611.962,0.000
2,1,152,600,126.000000,1,1,1,172.896,682.486,0.000
