Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,87,329,91.000000,1,1,1,98.960,374.230,0.000
1,1,167,86,160.000000,1,1,1,189.959,97.823,0.000
1,1,81,211,69.000000,1,1,1,92.136,240.008,0.000
1,1,150,146,12.000000,1,1,1,170.621,166.072,0.000
1,1,57,408,22.000000,1,1,1,64.836,464.090,0.000
1,1,131,548,121.000000,1,1,1,149.009,623.337,0.000
1,1,97,635,33.000000,1,1,1,110.335,722.298,0.000
1,1,128,507,94.000000,1,1,1,145.597,576.701,0.000
1,1,108,144,67.000000,1,1,1,122.847,163.797,0.000
1,1,184,498,12.000000,1,1,1,209.296,566.463,0.000
1,1,143,360,10.000000,1,1,1,162.659,409.492,0.000
1,1,3,37,10.000000,1,1,1,3.412,42.087,0.000
1,1,5,644,53.000000,1,1,1,5.687,732.535,0.000
2,1,58,405,12.000000,1,1,1,65.974,460.678,0.000
2,1,146,358,6.000000,1,1,1,166.072,407.217,0.000
2,1,128,507,94.000000,1,1,1,145.597,576.701,0.000
2,1,133,549,7.000000,1,1,1,151.284,624.475,0.000
2,1,186,499,8.000000,1,1,1,211.571,567.601,0.000
2,1,96,633,37.000000,1,1,1,109.198,720.023,0.000
2,1,5,644,53.000000,1,1,1,5.687,732.535,0.000
