Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,121,52,90.000000,1,1,1,137.635,59.149,0.000
1,1,42,21,70.000000,1,1,1,47.774,23.887,0.000
1,1,78,287,40.000000,1,1,1,88.723,326.456,0.000
1,1,5,242,70.000000,1,1,1,5.687,275.269,0.000
1,1,29,240,79.000000,1,1,1,32.987,272.994,0.000
1,1,163,397,33.000000,1,1,1,185.409,451.578,0.000
1,1,112,473,46.000000,1,1,1,127.397,538.026,0.000
1,1,73,573,88.000000,1,1,1,83.036,651.774,0.000
1,1,45,525,117.000000,1,1,1,51.186,597.175,0.000
1,1,194,544,66.000000,1,1,1,220.670,618.787,0.000
1,1,8,607,103.000000,1,1,1,9.100,690.448,0.000
1,1,156,80,73.000000,1,1,1,177.446,90.998,0.000
1,1,6,470,31.000000,1,1,1,6.825,534.614,0.000
2,1,74,571,169.000000,1,1,1,84.173,649.499,0.000
2,1,8,608,53.000000,1,1,1,9.100,691.586,0.000
2,1,112,473,46.000000,1,1,1,127.397,538.026,0.000
2,1,7,241,43.000000,1,1,1,7.962,274.132,0.000
2,1,5,471,24.000000,1,1,1,5.687,535.751,0.000
