Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,154,509,52.000000,1,1,1,175.171,578.976,0.000
1,1,30,120,31.000000,1,1,1,34.124,136.497,0.000
1,1,34,166,16.000000,1,1,1,38.674,188.821,0.000
1,1,69,605,84.000000,1,1,1,78.486,688.173,0.000
1,1,193,617,24.000000,1,1,1,219.533,701.823,0.000
1,1,182,348,60.000000,1,1,1,207.021,395.842,0.000
1,1,183,198,82.000000,1,1,1,208.158,225.220,0.000
1,1,114,147,66.000000,1,1,1,129.672,167.209,0.000
2,1,156,509,27.000000,1,1,1,177.446,578.976,0.000
2,1,193,617,24.000000,1,1,1,219.533,701.823,0.000
2,1,180,350,37.000000,1,1,1,204.746,398.117,0.000
