Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,159,109,52.000000,1,1,1,180.859,123.985,0.000
1,1,128,51,120.000000,1,1,1,145.597,58.011,0.000
1,1,132,312,56.000000,1,1,1,150.147,354.893,0.000
1,1,27,56,16.000000,1,1,1,30.712,63.699,0.000
1,1,89,491,166.000000,1,1,1,101.235,558.501,0.000
1,1,79,583,86.000000,1,1,1,89.861,663.149,0.000
1,1,152,491,71.000000,1,1,1,172.896,558.501,0.000
1,1,180,628,93.000000,1,1,1,204.746,714.335,0.000
1,1,2,630,100.000000,1,1,1,2.275,716.610,0.000
1,1,47,679,108.000000,1,1,1,53.461,772.347,0.000
1,1,117,685,32.000000,1,1,1,133.085,779.171,0.000
1,1,164,374,46.000000,1,1,1,186.546,425.416,0.000
1,1,119,731,8.000000,1,1,1,135.360,831.495,0.000
1,1,184,691,96.000000,1,1,1,209.296,785.996,0.000
2,1,88,492,117.000000,1,1,1,100.098,559.638,0.000
2,1,46,676,103.000000,1,1,1,52.324,768.934,0.000
2,1,184,693,89.000000,1,1,1,209.296,788.271,0.000
2,1,163,375,36.000000,1,1,1,185.409,426.554,0.000
2,1,27,54,17.000000,1,1,1,30.712,61.424,0.000
2,1,78,582,83.000000,1,1,1,88.723,662.011,0.000
