Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,46,61,74.000000,1,1,1,52.324,69.386,0.000
1,1,136,29,114.000000,1,1,1,154.697,32.987,0.000
1,1,151,63,110.000000,1,1,1,171.759,71.661,0.000
1,1,117,170,31.000000,1,1,1,133.085,193.371,0.000
1,1,61,127,130.000000,1,1,1,69.386,144.460,0.000
1,1,32,99,176.000000,1,1,1,36.399,112.610,0.000
1,1,33,188,94.000000,1,1,1,37.537,213.846,0.000
1,1,84,195,129.000000,1,1,1,95.548,221.808,0.000
1,1,47,238,66.000000,1,1,1,53.461,270.719,0.000
1,1,28,428,165.000000,1,1,1,31.849,486.840,0.000
1,1,137,276,116.000000,1,1,1,155.834,313.944,0.000
1,1,146,321,201.000000,1,1,1,166.072,365.130,0.000
1,1,2,228,207.000000,1,1,1,2.275,259.345,0.000
1,1,69,504,87.000000,1,1,1,78.486,573.288,0.000
1,1,29,601,104.000000,1,1,1,32.987,683.623,0.000
1,1,187,657,147.000000,1,1,1,212.708,747.322,0.000
1,1,192,256,98.000000,1,1,1,218.395,291.194,0.000
1,1,130,516,140.000000,1,1,1,147.872,586.938,0.000
1,1,49,654,185.000000,1,1,1,55.736,743.910,0.000
2,1,49,655,196.000000,1,1,1,55.736,745.047,0.000
2,1,188,658,69.000000,1,1,1,213.846,748.460,0.000
2,1,132,517,26.000000,1,1,1,150.147,588.075,0.000
2,1,190,255,62.000000,1,1,1,216.121,290.057,0.000
