Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,178,186,67.000000,1,1,1,202.471,211.571,0.000
1,1,181,247,109.000000,1,1,1,205.883,280.957,0.000
1,1,191,299,68.000000,1,1,1,217.258,340.105,0.000
1,1,144,656,75.000000,1,1,1,163.797,746.185,0.000
1,1,38,663,124.000000,1,1,1,43.224,754.147,0.000
1,1,137,476,138.000000,1,1,1,155.834,541.439,0.000
1,1,73,594,116.000000,1,1,1,83.036,675.661,0.000
1,1,131,183,196.000000,1,1,1,149.009,208.158,0.000
1,1,167,147,46.000000,1,1,1,189.959,167.209,0.000
1,1,69,94,137.000000,1,1,1,78.486,106.923,0.000
1,1,116,81,81.000000,1,1,1,131.947,92.136,0.000
1,1,174,637,95.000000,1,1,1,197.921,724.573,0.000
1,1,153,602,98.000000,1,1,1,174.034,684.761,0.000
1,1,194,591,125.000000,1,1,1,220.670,672.249,0.000
2,1,116,80,62.000000,1,1,1,131.947,90.998,0.000
2,1,70,94,121.000000,1,1,1,79.623,106.923,0.000
2,1,181,247,109.000000,1,1,1,205.883,280.957,0.000
2,1,190,298,59.000000,1,1,1,216.121,338.968,0.000
2,1,136,474,116.000000,1,1,1,154.697,539.164,0.000
2,1,153,602,98.000000,1,1,1,174.034,684.761,0.000
2,1,36,663,23.000000,1,1,1,40.949,754.147,0.000
2,1,192,593,102.000000,1,1,1,218.395,674.524,0.000
2,1,73,593,101.000000,1,1,1,83.036,674.524,0.000
2,1,146,656,59.000000,1,1,1,166.072,746.185,0.000
