Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,25,316,113.000000,1,1,1,28.437,359.443,0.000
1,1,102,331,36.000000,1,1,1,116.023,376.505,0.000
1,1,167,336,96.000000,1,1,1,189.959,382.192,0.000
1,1,182,316,115.000000,1,1,1,207.021,359.443,0.000
1,1,90,390,127.000000,1,1,1,102.373,443.616,0.000
1,1,162,506,19.000000,1,1,1,184.271,575.563,0.000
1,1,185,565,12.000000,1,1,1,210.433,642.674,0.000
1,1,51,720,79.000000,1,1,1,58.011,818.983,0.000
1,1,95,634,58.000000,1,1,1,108.060,721.160,0.000
1,1,34,547,59.000000,1,1,1,38.674,622.200,0.000
1,1,77,557,192.000000,1,1,1,87.586,633.574,0.000
1,1,46,362,96.000000,1,1,1,52.324,411.767,0.000
1,1,41,455,48.000000,1,1,1,46.637,517.552,0.000
1,1,46,148,54.000000,1,1,1,52.324,168.347,0.000
1,1,48,620,22.000000,1,1,1,54.599,705.235,0.000
1,1,58,247,110.000000,1,1,1,65.974,280.957,0.000
1,1,98,64,15.000000,1,1,1,111.473,72.798,0.000
2,1,47,363,100.000000,1,1,1,53.461,412.904,0.000
2,1,105,333,51.000000,1,1,1,119.435,378.780,0.000
2,1,90,391,102.000000,1,1,1,102.373,444.753,0.000
2,1,167,337,74.000000,1,1,1,189.959,383.330,0.000
2,1,33,548,57.000000,1,1,1,37.537,623.337,0.000
2,1,51,721,58.000000,1,1,1,58.011,820.121,0.000
2,1,99,635,113.000000,1,1,1,112.610,722.298,0.000
2,1,48,620,22.000000,1,1,1,54.599,705.235,0.000
2,1,188,564,9.000000,1,1,1,213.846,641.537,0.000
2,1,78,557,190.000000,1,1,1,88.723,633.574,0.000
2,1,165,507,61.000000,1,1,1,187.684,576.701,0.000
2,1,41,453,47.000000,1,1,1,46.637,515.277,0.000
